Frequency (GHz),bew,bex,bey,bhd,cem-d,cem,cpa,cpc,cpd,cph,cpi,cpj,cpk,cpq,cps,cpu,cpv,cqc,cqd,cqg,cqh,cqi,cqk,cql,cqm,cqn,cqo,cqr,crx,dha,dhf,fes,fzh,hbt,hna,krc,krh,krl,krm,krr,krs,mcm,mte,mtf,pna,sdb,sdc,sdd,sde,sdf,sdg,sdh,sdi,sdj,sdk,sdl,sdm,sdo,sdp,sdq,sdr,sdu,sdx,sdy,sdz,sql,tdr,tdx,tts,usm-d,usm,var
10.061,94.8,97.2,93.89999999999999,95.0,93.60000000000001,96.2,94.69999999999999,93.2,93.2,95.0,94.39999999999999,94.5,97.3,94.69999999999999,94.5,93.2,94.8,95.6,93.7,94.89999999999999,94.6,94.89999999999999,94.39999999999999,95.6,97.0,95.3,93.89999999999999,93.89999999999999,94.8,94.0,94.39999999999999,92.9,95.1,93.30000000000001,98.3,94.89999999999999,93.7,95.1,95.5,93.7,92.5,94.6,96.89999999999999,90.3,94.8,94.89999999999999,93.60000000000001,98.8,91.3,93.4,94.8,94.0,95.19999999999999,93.7,95.0,93.89999999999999,95.89999999999999,95.19999999999999,94.19999999999999,94.5,95.5,91.5,91.60000000000001,94.1,94.69999999999999,94.0,95.3,95.39999999999999,93.0,95.19999999999999,93.5,95.19999999999999
10.444,94.1,96.0,93.8,93.7,94.1,92.80000000000001,94.89999999999999,92.9,94.1,94.39999999999999,94.19999999999999,94.6,97.3,94.5,94.8,93.7,94.5,95.39999999999999,94.5,95.19999999999999,94.8,94.69999999999999,94.1,93.30000000000001,96.3,93.8,93.4,93.7,94.0,93.10000000000001,94.39999999999999,93.5,95.0,94.6,98.0,93.60000000000001,92.7,93.2,93.10000000000001,93.30000000000001,92.7,93.5,91.9,96.5,94.6,93.7,94.69999999999999,91.3,96.6,94.6,94.5,94.3,93.5,94.19999999999999,93.4,94.3,93.0,93.60000000000001,94.0,94.0,93.2,95.8,95.7,94.19999999999999,93.4,93.30000000000001,93.4,93.5,95.0,93.5,94.8,94.3
10.828,93.89999999999999,95.1,92.5,93.8,93.30000000000001,94.1,92.2,92.4,93.0,93.89999999999999,94.1,92.5,96.5,94.8,92.5,92.5,94.1,94.89999999999999,94.39999999999999,94.1,94.3,94.39999999999999,93.89999999999999,93.8,96.3,93.4,93.5,93.4,94.6,92.60000000000001,94.39999999999999,92.60000000000001,94.19999999999999,93.5,97.39999999999999,93.7,94.5,93.5,94.1,95.19999999999999,92.60000000000001,93.7,94.89999999999999,93.0,92.4,93.60000000000001,92.10000000000001,94.6,91.8,93.4,93.4,93.4,93.7,93.10000000000001,93.60000000000001,93.7,94.1,93.60000000000001,93.8,93.4,93.89999999999999,92.7,93.10000000000001,93.60000000000001,93.7,92.80000000000001,93.8,93.7,93.4,93.5,93.30000000000001,94.69999999999999
11.212,93.8,94.8,92.9,93.10000000000001,92.4,93.0,94.69999999999999,91.8,93.2,93.89999999999999,93.8,94.19999999999999,95.39999999999999,94.19999999999999,92.60000000000001,93.0,93.8,93.60000000000001,94.8,94.19999999999999,94.19999999999999,94.39999999999999,94.6,93.10000000000001,95.7,93.5,92.80000000000001,92.4,94.69999999999999,93.7,94.19999999999999,91.9,93.89999999999999,92.30000000000001,95.8,92.9,93.0,92.80000000000001,92.7,90.8,91.5,92.60000000000001,92.30000000000001,92.0,91.8,93.0,93.60000000000001,93.7,93.60000000000001,92.7,94.19999999999999,92.9,93.10000000000001,92.7,92.80000000000001,92.7,92.9,93.10000000000001,92.60000000000001,93.10000000000001,93.0,92.5,92.30000000000001,92.80000000000001,92.5,92.30000000000001,93.0,93.2,92.80000000000001,93.10000000000001,93.0,93.30000000000001
11.596,93.0,94.19999999999999,92.2,92.5,92.60000000000001,92.0,91.10000000000001,93.0,92.80000000000001,93.4,93.2,91.3,94.6,93.7,93.2,92.30000000000001,93.8,93.0,93.89999999999999,93.8,93.10000000000001,94.0,93.8,92.10000000000001,94.5,91.8,92.0,92.7,94.1,92.9,94.3,91.60000000000001,94.1,93.4,94.89999999999999,92.30000000000001,91.3,91.8,92.4,94.5,92.7,92.4,92.30000000000001,94.6,92.2,92.30000000000001,91.4,90.8,92.80000000000001,93.10000000000001,94.3,92.60000000000001,92.2,92.30000000000001,92.10000000000001,93.0,92.2,92.2,92.9,92.4,92.30000000000001,93.60000000000001,94.0,92.80000000000001,92.30000000000001,91.5,92.30000000000001,92.0,93.30000000000001,92.0,92.9,92.4
11.98,92.4,94.39999999999999,93.5,92.2,91.0,92.7,93.0,91.7,91.5,93.7,92.30000000000001,92.7,93.30000000000001,93.0,93.2,91.10000000000001,92.2,92.60000000000001,92.10000000000001,94.0,93.4,92.5,92.4,92.4,93.60000000000001,92.60000000000001,91.4,92.2,94.5,93.2,94.0,91.10000000000001,93.7,90.5,94.19999999999999,92.0,92.30000000000001,91.9,92.2,90.2,92.30000000000001,91.7,92.4,89.2,91.7,92.10000000000001,91.7,94.39999999999999,90.7,91.2,94.19999999999999,91.60000000000001,92.30000000000001,91.3,91.9,91.5,92.4,92.10000000000001,91.60000000000001,91.9,92.30000000000001,89.9,88.9,91.7,91.60000000000001,91.0,92.2,92.5,91.2,92.2,91.5,93.30000000000001
12.364,93.0,93.4,92.30000000000001,91.3,91.3,90.5,90.9,90.9,92.0,73.8,91.2,90.9,92.5,93.0,92.5,91.60000000000001,91.5,92.5,91.60000000000001,92.9,93.30000000000001,92.30000000000001,91.8,90.8,93.7,90.7,91.3,92.4,93.7,91.5,93.5,90.7,93.0,92.4,93.60000000000001,91.10000000000001,91.2,90.4,90.8,92.0,91.9,91.0,90.10000000000001,93.89999999999999,92.10000000000001,91.10000000000001,90.9,89.0,92.80000000000001,92.0,93.4,91.60000000000001,90.60000000000001,91.2,90.8,91.8,90.7,90.8,91.60000000000001,91.3,90.9,92.9,93.2,91.60000000000001,90.8,90.2,90.9,90.8,92.30000000000001,90.8,92.0,92.7
12.747,92.80000000000001,92.0,92.2,91.10000000000001,90.0,91.4,90.60000000000001,90.7,90.2,83.3,91.10000000000001,90.60000000000001,91.7,92.9,91.9,89.60000000000001,90.8,92.30000000000001,90.7,92.5,92.4,91.3,91.10000000000001,91.10000000000001,93.5,91.0,91.10000000000001,92.5,93.4,90.4,92.9,90.3,92.10000000000001,89.5,93.10000000000001,90.8,92.30000000000001,90.60000000000001,91.10000000000001,90.7,91.60000000000001,90.60000000000001,91.9,88.5,88.0,90.8,89.7,92.80000000000001,88.8,90.2,92.0,90.4,90.9,90.0,90.60000000000001,90.60000000000001,91.3,91.0,90.60000000000001,90.7,91.2,88.7,89.3,90.60000000000001,90.60000000000001,89.60000000000001,91.0,91.2,90.2,90.8,90.3,91.2
13.131,92.4,89.9,92.10000000000001,90.10000000000001,89.5,89.5,90.8,90.3,90.60000000000001,90.3,89.1,90.5,91.0,92.80000000000001,90.60000000000001,90.3,89.8,91.7,89.8,91.10000000000001,91.4,91.4,91.4,89.7,92.80000000000001,89.8,91.3,92.60000000000001,91.7,90.4,91.7,88.6,91.10000000000001,90.10000000000001,92.5,89.8,91.9,89.2,89.5,89.0,90.5,89.5,88.0,90.8,90.60000000000001,89.9,89.9,88.9,91.4,90.3,88.1,90.2,89.9,89.7,89.5,90.2,89.60000000000001,89.8,90.0,90.0,89.7,90.60000000000001,90.9,90.10000000000001,89.4,88.7,89.7,89.8,90.60000000000001,89.7,90.5,79.7
13.515,91.60000000000001,88.7,91.0,89.7,88.8,89.60000000000001,88.4,89.5,89.2,88.3,89.0,88.5,90.2,91.3,88.2,88.1,87.8,90.7,88.3,89.7,91.3,90.0,91.7,89.4,92.0,89.2,90.9,91.7,89.0,89.7,91.4,87.3,89.8,89.2,91.8,89.3,90.2,88.8,89.5,90.60000000000001,89.4,89.2,91.0,86.0,88.4,89.3,87.9,89.8,88.1,89.4,88.0,89.2,89.4,88.7,89.0,89.60000000000001,89.60000000000001,89.3,89.60000000000001,89.2,89.60000000000001,86.2,89.1,89.5,89.1,87.8,89.4,89.4,89.5,89.1,89.3,91.4
